hfrequency,vfrequency,voltage
105781151.477283,101166292.60091521,0.4032823494162985
104188708.99693577,94973962.10569835,0.39807007876046074
85723562.13836698,109461905.03043276,0.12746239936844803
88874836.23665635,93251938.91076265,0.35706619289291414
82449289.97710076,111481388.5120102,0.09603796008619181
95165118.95307553,100490761.30071376,0.34969283562963915
114554779.75483333,97773510.14283966,0.6270127261543802
90010815.04310088,100837828.05816756,0.35989320716932194
92576576.79262361,95712139.71549837,0.39059675921742903
82693674.80216989,97334319.25315936,0.2585785395860788
119822394.25358412,102664107.1022554,0.2518850045799003
92318709.58388698,85219526.08875021,0.11679270576910805
114411147.92515796,104730411.90203923,0.26171511628539124
85228491.23575398,94818818.85432854,0.23133586504921314
96625270.82212763,92389417.95236494,0.26771538447349286
97327656.75896436,97728179.99944597,0.36862671522732915
105448289.14525554,81245048.88462667,0.07164131347264334
109409908.8273457,104756452.08572273,0.2772348649416078
109664645.49796334,115091031.31839018,0.11342819032045709
109018845.26065275,114580824.83365686,0.13163780748040455
118600079.66238263,98336481.30894482,0.504603373632976
101270906.56019467,106190294.32532255,0.1716248007586641
103469653.98033758,97684856.83303498,0.40275654894984564
104305840.3247708,89040809.63580678,0.1857470463670486
86579912.63379456,86324742.79034953,0.10192037741549174
114667362.4188701,104298188.79585148,0.2911358097010542
116309602.74599059,99164477.41519043,0.566098120515831
89790609.31196871,105562287.63373464,0.1795019071582485
80980649.06078203,96157504.36990805,0.2966596679019525
99573679.7404811,88512572.2265154,0.14984449946390438
108984557.67246553,109126671.55979149,0.18731555973027772
109924400.35002634,100848434.72531605,0.5675820287756532
88028274.38022172,82494169.51116472,0.07477890273303385
112265177.77505593,96525318.19500895,0.6327029256390381
90250495.43341972,106150402.03711027,0.16626132098184368
115158082.27002096,94758795.47981685,0.5346485359668041
80632506.89935341,81498525.04143552,0.032414303536822786
89875946.24089628,117526215.39635092,0.06423302285217707
98116753.34422871,107684117.29639338,0.15489892309835912
115449508.85883361,84588514.7200869,0.14460314580377057
116226528.94157103,115481588.82544464,0.09535830658927487
81583319.25663681,110980496.98254806,0.09820776596957861
95236998.84847459,95847544.78122066,0.36670853077182763
107561109.07676296,82506476.63560227,0.114131582749314
101734488.24586013,97093328.99719301,0.3809383891214471
114207233.72696117,96100028.6236868,0.6314400932145814
83050482.46747679,91850092.40287048,0.1722021855867021
82434951.05475698,85539998.99827817,0.06507648623015856
117776139.78954265,106941074.9671436,0.17313548563366027
80323117.48500659,116448377.31667414,0.06518809296231244
89952984.5662717,90655695.20408739,0.27661360246685607
108408574.50282651,107190056.27035785,0.2497814089403367
82115666.37739393,104235804.8432251,0.15511611744959206
97990163.0072168,94265512.8896503,0.3222482676644972
89369922.00316267,85563001.72270101,0.11476623353165273
102253209.01630548,85023593.9992376,0.09847648842900356
109205603.84234533,87235890.65997508,0.20387194591680258
106173492.51758091,92171056.9222655,0.3573078012168057
99833249.80923817,94284490.54720631,0.3114377155685275
97677563.89602952,97227816.45214583,0.37468565570456186
87936022.12915963,85826132.00147638,0.10082298622050292
86139911.61314718,117339963.04004589,0.05707961635640295
108864038.47349547,87315672.37265185,0.23575597542168852
99274838.72692391,87366102.35407588,0.1415915078908057
80592440.89317085,117482307.38565269,0.05599156322468908
100044075.34709892,96983370.28161931,0.38887073635317626
88886508.6703328,109202936.74174151,0.15936561128042287
95204927.609243,116812335.61602345,0.07470346693272217
84667255.22979227,98589709.03977801,0.24681556128945517
92257245.74436037,99457186.18984775,0.44484488773194
86919760.31180301,113678774.23063315,0.08786119186090995
104804447.49117059,116208689.67759298,0.09372555185098537
103766423.63924192,84850268.45115192,0.1254068441266966
113123833.2966175,108720409.2175473,0.23774740179516604
99693785.23461418,87792994.90160999,0.1552303680912274
117711458.94928345,109702105.20947737,0.16593775146402662
82649780.53314638,101680746.59352797,0.20876092832178936
85055892.7359475,107285347.84606874,0.10570246180203499
89735525.37463717,83911969.93955372,0.1077972819122559
90587940.42966174,98902469.90106612,0.42468530294932016
114641125.2381447,88487080.65264891,0.25217628465000763
86321342.34591407,118025463.2341794,0.05781867343656305
112917054.61474288,114299585.70848177,0.1409722142848168
104571701.83204289,100361410.33739665,0.3750383644800684
90953571.66478539,104702003.63577078,0.2188957646583677
80647401.40218401,87081560.78985919,0.08433416035923853
107833092.23088503,94208223.2487756,0.530831855743429
110829381.00785312,103049716.95867932,0.4057736434419531
114956624.02122606,101910498.61948201,0.45454061008102176
99675429.56455377,85578233.4295789,0.10730174577135697
96473152.64366975,104860064.999809,0.1648127398529654
93141897.23347192,81749875.29927453,0.07273099795276067
89494461.48294315,114850431.45339686,0.08047709019952941
87786138.32095024,87907099.16077605,0.15847281367658506
113760451.07939875,110410147.96682191,0.2044501745457389
87314681.95814203,105139057.10884324,0.18916944655732573
108016550.14996454,90766074.919787,0.3990453438387631
107582484.14000402,82465296.42765427,0.10950699129247408
94184442.41164745,114843376.52143145,0.08211085749889692
107745033.62414822,97434900.99109805,0.660162625766957
94671212.97682305,103295690.15280865,0.23978298708232346
